Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
2,2,1,1,0,0,0,0,0,0,SAMPDORIA,home,0,0,4,6,0,0,0,1,0,1,17,22,2,2,2,2,1,0,0,0,0,7,10,4,6,3,0,0,0,SIENA,2004-05,9,6,7,2,2,4,0,0
2,2,1,1,0,0,0,0,0,0,SIENA,away,0,0,6,4,0,0,1,0,1,0,22,17,2,2,2,1,2,0,0,0,0,10,7,6,4,0,3,0,0,SAMPDORIA,2004-05,6,9,2,7,4,2,0,0
2,1,8,1,4,2,6,3,15,7,PARMA,home,1,0,6,5,15,7,0,1,0,0,14,15,4,3,2,4,0,15,19,0,0,10,11,14,20,1,1,1,0,UDINESE,2004-05,7,1,4,0,3,1,0,0
1,2,1,8,2,4,3,6,7,15,UDINESE,away,0,1,5,6,7,15,1,0,0,0,15,14,3,4,2,0,4,19,15,0,0,11,10,20,14,1,1,0,1,PARMA,2004-05,1,7,0,4,1,3,0,0
2,1,1,3,,,,,,,INTER,home,,,3,7,,,,,0,0,11,16,3,3,3,2,3,,,0,1,27,22,19,20,5,3,0,0,ATALANTA,2004-05,11,14,6,5,5,9,0,0
1,2,3,1,,,,,,,ATALANTA,away,,,7,3,,,,,0,0,16,11,3,3,3,3,2,,,1,0,22,27,20,19,3,5,0,0,INTER,2004-05,14,11,5,6,9,5,0,0
4,0,3,2,,,,,,,LAZIO,home,,,12,5,,,,,0,1,19,30,1,2,3,0,2,,,0,0,2,0,3,5,1,4,0,0,BRESCIA,2004-05,13,7,9,4,4,3,0,0
0,4,2,3,,,,,,,BRESCIA,away,,,5,12,,,,,1,0,30,19,2,1,3,2,0,,,0,0,0,2,5,3,4,1,0,0,LAZIO,2004-05,7,13,4,9,3,4,0,0
4,3,2,0,,,,,,,SIENA,home,,,5,4,,,,,0,0,18,17,2,1,3,2,0,,,0,0,13,14,8,6,1,5,1,0,CAGLIARI,2004-05,14,9,7,8,7,1,0,0
3,4,0,2,,,,,,,CAGLIARI,away,,,4,5,,,,,0,0,17,18,1,2,3,0,2,,,0,0,14,13,6,8,5,1,0,1,SIENA,2004-05,9,14,8,7,1,7,0,0
1,3,2,1,,,,,,,UDINESE,home,,,11,2,,,,,0,0,19,12,2,4,3,0,0,,,1,0,5,12,3,4,4,2,0,0,CHIEVOVERONA,2004-05,13,6,10,2,3,4,0,0
3,1,1,2,,,,,,,CHIEVOVERONA,away,,,2,11,,,,,0,0,12,19,4,2,3,0,0,,,0,1,12,5,4,3,2,4,0,0,UDINESE,2004-05,6,13,2,10,4,3,0,0
2,3,1,1,,,,,,,MESSINA,home,,,15,3,,,,,0,0,13,10,2,1,3,1,2,,,0,0,16,10,6,8,0,6,0,0,MILAN,2004-05,19,5,12,3,7,2,0,0
3,2,1,1,,,,,,,MILAN,away,,,3,15,,,,,0,0,10,13,1,2,3,2,1,,,0,0,10,16,8,6,6,0,0,0,MESSINA,2004-05,5,19,3,12,2,7,0,0
2,2,1,0,,,,,,,FIORENTINA,home,,,5,5,,,,,0,0,17,24,3,3,3,0,0,,,0,0,7,3,10,3,5,12,1,0,PALERMO,2004-05,21,11,9,6,12,5,0,0
2,2,0,1,,,,,,,PALERMO,away,,,5,5,,,,,0,0,24,17,3,3,3,0,0,,,0,0,3,7,3,10,12,5,0,1,FIORENTINA,2004-05,11,21,6,9,5,12,0,0
2,2,3,2,,,,,,,BOLOGNA,home,,,7,6,,,,,0,0,18,26,2,6,3,0,1,,,0,0,10,2,2,10,3,3,0,0,PARMA,2004-05,10,6,6,1,4,5,0,0
2,2,2,3,,,,,,,PARMA,away,,,6,7,,,,,0,0,26,18,6,2,3,1,0,,,0,0,2,10,10,2,3,3,0,0,BOLOGNA,2004-05,6,10,1,6,5,4,0,0
4,4,4,2,,,,,,,LIVORNO,home,,,5,6,,,,,0,0,23,26,0,0,3,2,1,,,0,0,19,9,8,17,6,4,0,0,REGGINA,2004-05,10,14,4,7,6,7,0,0
4,4,2,4,,,,,,,REGGINA,away,,,6,5,,,,,0,0,26,23,0,0,3,1,2,,,0,0,9,19,17,8,4,6,0,0,LIVORNO,2004-05,14,10,7,4,7,6,0,0
0,3,3,3,,,,,,,LECCE,home,,,7,4,,,,,0,0,17,12,6,4,3,2,2,,,1,2,10,6,7,11,1,3,1,0,ROMA,2004-05,12,7,6,3,6,4,0,0
3,0,3,3,,,,,,,ROMA,away,,,4,7,,,,,0,0,12,17,4,6,3,2,2,,,2,1,6,10,11,7,3,1,0,1,LECCE,2004-05,7,12,3,6,4,6,0,0
3,3,0,1,,,,,,,JUVENTUS,home,,,3,5,,,,,0,0,30,23,1,2,3,0,3,,,1,0,7,8,3,5,5,3,0,1,SAMPDORIA,2004-05,9,10,5,2,4,8,0,0
3,3,1,0,,,,,,,SAMPDORIA,away,,,5,3,,,,,0,0,23,30,2,1,3,3,0,,,0,1,8,7,5,3,3,5,1,0,JUVENTUS,2004-05,10,9,2,5,8,4,0,0
3,3,3,1,0,0,0,0,0,0,ROMA,home,0,0,2,7,0,0,2,0,0,0,15,19,2,2,4,3,1,0,0,0,1,4,7,7,4,3,0,0,0,BOLOGNA,2004-05,6,10,2,6,4,4,0,0
3,3,1,3,0,0,0,0,0,0,BOLOGNA,away,0,0,7,2,0,0,0,2,0,0,19,15,2,2,4,1,3,0,0,1,0,7,4,4,7,0,3,0,0,ROMA,2004-05,10,6,6,2,4,4,0,0
2,4,1,2,7,2,7,3,6,7,PALERMO,home,3,1,11,5,17,5,0,0,0,0,12,21,0,1,4,1,1,25,23,0,0,18,15,12,16,1,3,0,0,JUVENTUS,2004-05,6,3,2,1,4,2,0,0
4,2,2,1,2,7,3,7,7,6,JUVENTUS,away,1,3,5,11,5,17,0,0,0,0,21,12,1,0,4,1,1,23,25,0,0,15,18,16,12,3,1,0,0,PALERMO,2004-05,3,6,1,2,2,4,0,0
