Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
2,3,1,1,SAMPDORIA,home,10,1,0,1,0,0,18,18,4,4,3,0,1,2,0,1,5,15,7,2,10,0,0,ATALANTA,2009-10,21,8,9,5,12,3,0,0
3,2,1,1,ATALANTA,away,1,10,1,0,0,0,18,18,4,4,3,1,0,0,2,5,1,7,15,10,2,0,0,SAMPDORIA,2009-10,8,21,5,9,3,12,0,0
2,1,1,5,CHIEVOVERONA,home,5,2,0,0,0,0,20,19,2,3,3,0,2,0,0,20,13,13,17,2,3,0,0,BOLOGNA,2009-10,7,8,4,4,3,4,0,0
1,2,5,1,BOLOGNA,away,2,5,0,0,0,0,19,20,3,2,3,2,0,0,0,13,20,17,13,3,2,0,0,CHIEVOVERONA,2009-10,8,7,4,4,4,3,0,0
1,2,1,0,CAGLIARI,home,5,2,0,0,0,0,12,15,1,2,3,1,0,0,0,12,11,9,8,1,2,0,0,FIORENTINA,2009-10,14,2,11,1,3,1,0,0
2,1,0,1,FIORENTINA,away,2,5,0,0,0,0,15,12,2,1,3,0,1,0,0,11,12,8,9,2,1,0,0,CAGLIARI,2009-10,2,14,1,11,1,3,0,0
3,1,3,0,PARMA,home,4,5,0,0,0,0,16,14,3,1,3,2,0,0,0,18,19,13,12,1,7,0,0,INTER,2009-10,16,4,7,3,9,1,0,0
1,3,0,3,INTER,away,5,4,0,0,0,0,14,16,1,3,3,0,2,0,0,19,18,12,13,7,1,0,0,PARMA,2009-10,4,16,3,7,1,9,0,0
5,0,3,1,BARI,home,12,1,0,0,0,0,11,15,2,0,3,1,1,0,0,31,39,20,17,5,13,0,0,PALERMO,2009-10,25,9,11,3,14,6,0,0
0,5,1,3,PALERMO,away,1,12,0,0,0,0,15,11,0,2,3,1,1,0,0,39,31,17,20,13,5,0,0,BARI,2009-10,9,25,3,11,6,14,0,0
1,3,0,1,ROMA,home,6,11,1,0,0,0,12,12,1,6,3,1,2,0,0,0,2,5,5,4,1,0,0,SIENA,2009-10,6,14,4,8,2,6,0,0
3,1,1,0,SIENA,away,11,6,0,1,0,0,12,12,6,1,3,2,1,0,0,2,0,5,5,1,4,0,0,ROMA,2009-10,14,6,8,4,6,2,0,0
2,4,2,0,CATANIA,home,10,2,0,0,0,0,26,18,2,2,3,4,2,1,0,6,5,7,6,0,3,1,1,UDINESE,2009-10,10,7,2,5,8,2,0,0
4,2,0,2,UDINESE,away,2,10,0,0,0,0,18,26,2,2,3,2,4,0,1,5,6,6,7,3,0,1,1,CATANIA,2009-10,7,10,5,2,2,8,0,0
1,3,2,2,NAPOLI,home,5,2,0,1,1,1,18,12,0,0,3,4,1,0,0,17,14,8,10,3,4,2,0,GENOA,2009-10,12,9,5,5,7,4,0,0
3,1,2,2,GENOA,away,2,5,1,0,1,1,12,18,0,0,3,1,4,0,0,14,17,10,8,4,3,0,2,NAPOLI,2009-10,9,12,5,5,4,7,0,0
