Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Possesso palla,Possesso palla avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri fuori su azione da palla inattiva,Tiri fuori su azione da palla inattiva avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario,Tiri in porta su azione da palla inattiva,Tiri in porta su azione da palla inattiva avversario
1,0,2,2,8,8,5,19,8,7,LAZIO,away,2,1,4,6,5,15,0,0,0,0,13,14,1,0,3,0,2,30,23,5,8,0,0,11,14,20,13,6,5,39%,61%,0,0,UDINESE,2015-16,7,13,2,5,0,0,0,0,5,8,2,5,1,1,0,0
2,3,1,1,8,10,6,4,7,18,MILAN,home,0,0,6,7,4,3,0,0,0,0,15,18,4,0,3,1,0,21,15,9,8,0,1,28,20,19,9,3,5,49%,51%,0,0,INTER,2015-16,13,12,7,8,0,0,2,0,6,4,4,1,1,1,1,0
3,2,1,1,10,8,4,6,18,7,INTER,away,0,0,7,6,3,4,0,0,0,0,18,15,0,4,3,0,1,15,21,8,9,1,0,20,28,9,19,5,3,51%,49%,0,0,MILAN,2015-16,12,13,8,7,0,0,0,2,4,6,1,4,1,1,0,1
1,3,2,1,8,11,6,8,9,5,BOLOGNA,home,3,2,2,5,4,9,0,1,0,0,13,11,2,0,3,2,0,12,11,5,4,0,1,18,23,19,17,2,3,54%,46%,0,0,SAMPDORIA,2015-16,11,6,6,3,0,0,0,0,5,3,1,1,0,1,0,0
3,1,1,2,11,8,8,6,5,9,SAMPDORIA,away,2,3,5,2,9,4,1,0,0,0,11,13,0,2,3,0,2,11,12,4,5,1,0,23,18,17,19,3,2,46%,54%,0,0,BOLOGNA,2015-16,6,11,3,6,0,0,0,0,3,5,1,1,1,0,0,0
4,3,1,1,7,6,7,6,2,7,EMPOLI,home,3,3,2,5,5,5,1,0,0,0,11,21,6,2,4,1,2,21,13,4,4,0,0,21,25,26,18,4,1,42%,58%,0,0,UDINESE,2015-16,6,10,3,4,0,1,0,0,3,6,2,2,0,0,0,0
3,4,1,1,6,7,6,7,7,2,UDINESE,away,3,3,5,2,5,5,0,1,0,0,21,11,2,6,4,2,1,13,21,4,4,0,0,25,21,18,26,1,4,58%,42%,0,0,EMPOLI,2015-16,10,6,4,3,1,0,0,0,6,3,2,2,0,0,0,0
1,2,4,1,7,5,6,3,16,10,PALERMO,home,2,0,7,3,8,7,0,0,0,0,8,8,6,3,4,3,2,16,38,9,6,0,0,15,26,27,12,3,5,60%,40%,0,0,MILAN,2015-16,15,10,7,5,0,0,0,0,8,5,5,3,1,0,0,1
2,1,1,4,5,7,3,6,10,16,MILAN,away,0,2,3,7,7,8,0,0,0,0,8,8,3,6,4,2,3,38,16,6,9,0,0,26,15,12,27,5,3,40%,60%,0,0,PALERMO,2015-16,10,15,5,7,0,0,0,0,5,8,3,5,0,1,1,0
3,1,1,1,4,3,2,2,7,8,INTER,home,0,1,8,8,12,6,0,0,0,0,13,16,3,0,4,0,1,21,22,9,4,0,0,17,22,24,19,4,2,43%,57%,0,0,CHIEVOVERONA,2015-16,9,11,7,6,0,1,2,1,2,5,1,4,0,0,0,0
1,3,1,1,3,4,2,2,8,7,CHIEVOVERONA,away,1,0,8,8,6,12,0,0,0,0,16,13,0,3,4,1,0,22,21,4,9,0,0,22,17,19,24,2,4,57%,43%,0,0,INTER,2015-16,11,9,6,7,1,0,1,2,5,2,4,1,0,0,0,0
3,3,3,1,8,5,15,6,7,3,HELLAS VERONA,home,2,1,8,2,17,5,0,1,0,0,18,19,0,0,4,1,1,13,18,9,4,1,0,17,20,15,13,2,2,51%,49%,0,0,ATALANTA,2015-16,13,5,9,2,2,0,1,1,4,3,2,2,0,0,1,1
3,3,1,3,5,8,6,15,3,7,ATALANTA,away,1,2,2,8,5,17,1,0,0,0,19,18,0,0,4,1,1,18,13,4,9,0,1,20,17,13,15,2,2,49%,51%,0,0,HELLAS VERONA,2015-16,5,13,2,9,0,2,1,1,3,4,2,2,0,0,1,1
4,5,4,0,7,4,5,0,11,9,FROSINONE,home,0,0,6,5,5,10,0,0,0,0,13,13,1,1,4,1,0,13,12,4,2,0,2,11,13,30,11,8,2,41%,59%,0,0,BOLOGNA,2015-16,7,15,4,5,0,0,0,0,3,10,2,7,0,0,0,0
5,4,0,4,4,7,0,5,9,11,BOLOGNA,away,0,0,5,6,10,5,0,0,0,0,13,13,1,1,4,0,1,12,13,2,4,2,0,13,11,11,30,2,8,59%,41%,0,0,FROSINONE,2015-16,15,7,5,4,0,0,0,0,10,3,7,2,0,0,0,0
1,4,1,3,1,1,2,2,5,12,JUVENTUS,home,0,3,1,2,4,3,1,0,0,0,23,21,1,2,4,0,2,16,16,4,9,0,1,26,17,18,23,3,0,55%,45%,0,1,GENOA,2015-16,5,12,5,7,1,2,0,1,0,5,0,4,0,1,0,0
