Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
1,2,BARI,home,0,0,16,1,1,JUVENTUS,1998-99
2,1,JUVENTUS,away,0,0,16,1,1,BARI,1998-99
3,1,FIORENTINA,home,0,1,16,2,0,LAZIO,1998-99
1,3,LAZIO,away,1,0,16,0,2,FIORENTINA,1998-99
1,4,UDINESE,home,0,0,16,1,3,PERUGIA,1998-99
4,1,PERUGIA,away,0,0,16,3,1,UDINESE,1998-99
3,3,PARMA,home,0,0,16,3,6,PIACENZA,1998-99
3,3,PIACENZA,away,0,0,16,6,3,PARMA,1998-99
1,1,BOLOGNA,home,0,1,16,1,1,SAMPDORIA,1998-99
1,1,SAMPDORIA,away,1,0,16,1,1,BOLOGNA,1998-99
3,2,SALERNITANA,home,0,0,16,1,0,VICENZA,1998-99
2,3,VICENZA,away,0,0,16,0,1,SALERNITANA,1998-99
1,0,SAMPDORIA,home,0,0,17,3,1,BARI,1998-99
0,1,BARI,away,0,0,17,1,3,SAMPDORIA,1998-99
4,3,INTER,home,0,0,17,2,1,BOLOGNA,1998-99
3,4,BOLOGNA,away,0,0,17,1,2,INTER,1998-99
1,0,CAGLIARI,home,0,1,17,4,2,FIORENTINA,1998-99
0,1,FIORENTINA,away,1,0,17,2,4,CAGLIARI,1998-99
0,0,PERUGIA,home,1,0,17,2,1,MILAN,1998-99
0,0,MILAN,away,0,1,17,1,2,PERUGIA,1998-99
3,1,LAZIO,home,0,0,17,1,3,PARMA,1998-99
1,3,PARMA,away,0,0,17,3,1,LAZIO,1998-99
1,3,VICENZA,home,0,0,17,3,0,ROMA,1998-99
3,1,ROMA,away,0,0,17,0,3,VICENZA,1998-99
0,0,PIACENZA,home,1,1,17,1,1,SALERNITANA,1998-99
0,0,SALERNITANA,away,1,1,17,1,1,PIACENZA,1998-99
1,1,EMPOLI,home,0,0,17,0,0,UDINESE,1998-99
1,1,UDINESE,away,0,0,17,0,0,EMPOLI,1998-99
2,3,JUVENTUS,home,0,0,17,1,1,UNIONE VENEZIA,1998-99
3,2,UNIONE VENEZIA,away,0,0,17,1,1,JUVENTUS,1998-99
0,4,MILAN,home,0,0,18,2,3,BOLOGNA,1998-99
4,0,BOLOGNA,away,0,0,18,3,2,MILAN,1998-99
2,1,FIORENTINA,home,1,0,18,0,3,EMPOLI,1998-99
1,2,EMPOLI,away,0,1,18,3,0,FIORENTINA,1998-99
2,4,CAGLIARI,home,0,1,18,5,1,INTER,1998-99
4,2,INTER,away,1,0,18,1,5,CAGLIARI,1998-99
2,1,PERUGIA,home,0,0,18,2,1,JUVENTUS,1998-99
1,2,JUVENTUS,away,0,0,18,1,2,PERUGIA,1998-99
2,2,PIACENZA,home,0,1,18,4,1,LAZIO,1998-99
2,2,LAZIO,away,1,0,18,1,4,PIACENZA,1998-99
0,5,ROMA,home,0,0,18,2,1,SALERNITANA,1998-99
5,0,SALERNITANA,away,0,0,18,1,2,ROMA,1998-99
1,5,UDINESE,home,1,0,18,1,1,SAMPDORIA,1998-99
5,1,SAMPDORIA,away,0,1,18,1,1,UDINESE,1998-99
2,1,BARI,home,0,0,18,2,1,UNIONE VENEZIA,1998-99
1,2,UNIONE VENEZIA,away,0,0,18,1,2,BARI,1998-99
3,1,PARMA,home,0,0,18,0,0,VICENZA,1998-99
1,3,VICENZA,away,0,0,18,0,0,PARMA,1998-99
3,2,LAZIO,home,,,19,1,3,BARI,1998-99
2,3,BARI,away,,,19,3,1,LAZIO,1998-99
2,2,JUVENTUS,home,,,19,1,0,CAGLIARI,1998-99
2,2,CAGLIARI,away,,,19,0,1,JUVENTUS,1998-99
0,1,VICENZA,home,,,19,3,0,FIORENTINA,1998-99
1,0,FIORENTINA,away,,,19,0,3,VICENZA,1998-99
0,0,SALERNITANA,home,,,19,3,2,MILAN,1998-99
0,0,MILAN,away,,,19,2,3,SALERNITANA,1998-99
0,3,UNIONE VENEZIA,home,,,19,2,2,PARMA,1998-99
3,0,PARMA,away,,,19,2,2,UNIONE VENEZIA,1998-99
2,4,SAMPDORIA,home,,,19,2,0,PERUGIA,1998-99
4,2,PERUGIA,away,,,19,0,2,SAMPDORIA,1998-99
1,1,INTER,home,,,19,0,0,PIACENZA,1998-99
1,1,PIACENZA,away,,,19,0,0,INTER,1998-99
2,2,EMPOLI,home,,,19,1,1,ROMA,1998-99
2,2,ROMA,away,,,19,1,1,EMPOLI,1998-99
1,4,BOLOGNA,home,,,19,2,0,UDINESE,1998-99
4,1,UDINESE,away,,,19,0,2,BOLOGNA,1998-99
3,2,BARI,home,0,2,20,3,1,BOLOGNA,1998-99
2,3,BOLOGNA,away,2,0,20,1,3,BARI,1998-99
2,2,MILAN,home,0,0,20,0,0,FIORENTINA,1998-99
2,2,FIORENTINA,away,0,0,20,0,0,MILAN,1998-99
1,1,EMPOLI,home,0,1,20,5,1,INTER,1998-99
1,1,INTER,away,1,0,20,1,5,EMPOLI,1998-99
2,1,PARMA,home,0,0,20,2,4,JUVENTUS,1998-99
1,2,JUVENTUS,away,0,0,20,4,2,PARMA,1998-99
0,2,PERUGIA,home,0,0,20,3,0,LAZIO,1998-99
2,0,LAZIO,away,0,0,20,0,3,PERUGIA,1998-99
3,2,UDINESE,home,0,0,20,1,2,SALERNITANA,1998-99
2,3,SALERNITANA,away,0,0,20,2,1,UDINESE,1998-99
1,3,CAGLIARI,home,2,0,20,0,0,SAMPDORIA,1998-99
3,1,SAMPDORIA,away,0,2,20,0,0,CAGLIARI,1998-99
4,2,ROMA,home,0,0,20,3,1,UNIONE VENEZIA,1998-99
2,4,UNIONE VENEZIA,away,0,0,20,1,3,ROMA,1998-99
3,4,PIACENZA,home,0,1,20,1,0,VICENZA,1998-99
4,3,VICENZA,away,1,0,20,0,1,PIACENZA,1998-99
1,1,VICENZA,home,0,1,21,0,0,BARI,1998-99
1,1,BARI,away,1,0,21,0,0,VICENZA,1998-99
1,2,LAZIO,home,0,0,21,0,0,CAGLIARI,1998-99
2,1,CAGLIARI,away,0,0,21,0,0,LAZIO,1998-99
2,2,SALERNITANA,home,0,0,21,2,3,EMPOLI,1998-99
2,2,EMPOLI,away,0,0,21,3,2,SALERNITANA,1998-99
1,0,UNIONE VENEZIA,home,0,1,21,2,1,MILAN,1998-99
0,1,MILAN,away,1,0,21,1,2,UNIONE VENEZIA,1998-99
1,0,BOLOGNA,home,1,0,21,1,1,PARMA,1998-99
0,1,PARMA,away,0,1,21,1,1,BOLOGNA,1998-99
1,3,INTER,home,1,0,21,2,1,PERUGIA,1998-99
3,1,PERUGIA,away,0,1,21,1,2,INTER,1998-99
3,2,JUVENTUS,home,0,0,21,0,2,PIACENZA,1998-99
2,3,PIACENZA,away,0,0,21,2,0,JUVENTUS,1998-99
1,2,SAMPDORIA,home,0,0,21,3,1,ROMA,1998-99
2,1,ROMA,away,0,0,21,1,3,SAMPDORIA,1998-99
1,2,FIORENTINA,home,0,1,21,1,0,UDINESE,1998-99
2,1,UDINESE,away,1,0,21,0,1,FIORENTINA,1998-99
2,2,EMPOLI,home,0,0,22,2,0,BOLOGNA,1998-99
2,2,BOLOGNA,away,0,0,22,0,2,EMPOLI,1998-99
2,3,ROMA,home,0,0,22,0,0,FIORENTINA,1998-99
3,2,FIORENTINA,away,0,0,22,0,0,ROMA,1998-99
2,1,VICENZA,home,0,0,22,2,0,JUVENTUS,1998-99
1,2,JUVENTUS,away,0,0,22,0,2,VICENZA,1998-99
3,2,INTER,home,0,0,22,1,0,LAZIO,1998-99
2,3,LAZIO,away,0,0,22,0,1,INTER,1998-99
1,2,CAGLIARI,home,0,0,22,1,0,MILAN,1998-99
2,1,MILAN,away,0,0,22,0,1,CAGLIARI,1998-99
1,4,PARMA,home,0,0,22,1,2,SALERNITANA,1998-99
4,1,SALERNITANA,away,0,0,22,2,1,PARMA,1998-99
2,3,PIACENZA,home,0,0,22,3,2,SAMPDORIA,1998-99
3,2,SAMPDORIA,away,0,0,22,2,3,PIACENZA,1998-99
3,1,BARI,home,0,1,22,4,0,UDINESE,1998-99
1,3,UDINESE,away,1,0,22,0,4,BARI,1998-99
