Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
3,1,3,10,0,0,0,0,0,0,ROMA,home,0,0,5,7,0,0,0,0,1,0,13,14,4,4,2,1,3,0,0,0,0,0,2,11,15,11,7,8,3,0,0,SIENA,2006-07,6,19,2,6,0,0,4,13,0,0,0,0
1,3,10,3,0,0,0,0,0,0,SIENA,away,0,0,7,5,0,0,0,0,0,1,14,13,4,4,2,3,1,0,0,0,0,2,0,15,11,7,11,3,8,0,0,ROMA,2006-07,19,6,6,2,0,0,13,4,0,0,0,0
4,1,2,1,0,0,0,0,0,0,TORINO,home,0,0,3,6,0,0,0,0,0,0,18,26,5,1,2,2,0,0,0,0,0,0,1,18,12,15,15,2,6,0,0,UDINESE,2006-07,17,13,9,10,0,0,8,3,0,0,0,0
1,4,1,2,0,0,0,0,0,0,UDINESE,away,0,0,6,3,0,0,0,0,0,0,26,18,1,5,2,0,2,0,0,0,0,1,0,12,18,15,15,6,2,0,0,TORINO,2006-07,13,17,10,9,0,0,3,8,0,0,0,0
2,3,1,2,4,4,5,6,13,10,MILAN,home,2,1,3,5,20,11,0,0,0,0,14,15,2,8,2,0,2,7,9,0,0,0,0,13,14,13,9,4,5,0,1,PARMA,2006-07,7,5,2,1,1,1,5,4,0,0,1,1
3,2,2,1,4,4,6,5,10,13,PARMA,away,1,2,5,3,11,20,0,0,0,0,15,14,8,2,2,2,0,9,7,0,0,0,0,14,13,9,13,5,4,1,0,MILAN,2006-07,5,7,1,2,1,1,4,5,0,0,1,1
3,1,3,1,,,,,,,EMPOLI,home,,,7,7,,,0,0,0,0,18,15,1,0,3,0,0,,,,,0,0,5,2,5,7,6,4,1,0,ATALANTA,2006-07,7,10,3,4,,,4,6,0,0,,
1,3,1,3,,,,,,,ATALANTA,away,,,7,7,,,0,0,0,0,15,18,0,1,3,0,0,,,,,0,0,2,5,7,5,4,6,0,1,EMPOLI,2006-07,10,7,4,3,,,6,4,0,0,,
1,2,2,1,,,,,,,LIVORNO,home,,,8,3,,,0,0,0,0,26,15,2,5,3,2,2,,,,,1,0,8,6,4,4,2,3,0,1,CAGLIARI,2006-07,9,5,3,1,,,6,4,0,0,,
2,1,1,2,,,,,,,CAGLIARI,away,,,3,8,,,0,0,0,0,15,26,5,2,3,2,2,,,,,0,1,6,8,4,4,3,2,1,0,LIVORNO,2006-07,5,9,1,3,,,4,6,0,0,,
