Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
4,1,JUVENTUS,home,1,0,0,0,8,0,1,MODENA,2002-03
1,4,MODENA,away,0,1,0,0,8,1,0,JUVENTUS,2002-03
0,3,CHIEVOVERONA,home,0,0,0,0,8,0,1,PARMA,2002-03
3,0,PARMA,away,0,0,0,0,8,1,0,CHIEVOVERONA,2002-03
2,7,PERUGIA,home,0,0,1,0,8,2,2,ROMA,2002-03
7,2,ROMA,away,0,0,0,1,8,2,2,PERUGIA,2002-03
1,4,UDINESE,home,0,0,0,0,9,1,2,INTER,2002-03
4,1,INTER,away,0,0,0,0,9,2,1,UDINESE,2002-03
2,1,ROMA,home,0,0,0,0,9,1,1,PIACENZA,2002-03
1,2,PIACENZA,away,0,0,0,0,9,1,1,ROMA,2002-03
0,4,COMO,home,0,0,0,0,9,1,0,BOLOGNA,2002-03
4,0,BOLOGNA,away,0,0,0,0,9,0,1,COMO,2002-03
4,3,EMPOLI,home,0,0,1,0,9,0,2,BRESCIA,2002-03
3,4,BRESCIA,away,0,0,0,1,9,2,0,EMPOLI,2002-03
1,1,ATALANTA,home,0,1,0,0,9,4,1,CHIEVOVERONA,2002-03
1,1,CHIEVOVERONA,away,1,0,0,0,9,1,4,ATALANTA,2002-03
2,3,MILAN,home,0,0,0,0,9,2,1,JUVENTUS,2002-03
3,2,JUVENTUS,away,0,0,0,0,9,1,2,MILAN,2002-03
2,2,PARMA,home,0,0,1,0,9,0,0,LAZIO,2002-03
2,2,LAZIO,away,0,0,0,1,9,0,0,PARMA,2002-03
2,4,TORINO,home,0,0,0,0,9,2,1,PERUGIA,2002-03
4,2,PERUGIA,away,0,0,0,0,9,1,2,TORINO,2002-03
0,1,MODENA,home,0,0,0,0,9,0,1,REGGINA,2002-03
1,0,REGGINA,away,0,0,0,0,9,1,0,MODENA,2002-03
1,2,PERUGIA,home,0,0,0,1,10,2,1,BOLOGNA,2002-03
2,1,BOLOGNA,away,0,0,1,0,10,1,2,PERUGIA,2002-03
3,3,INTER,home,0,0,0,0,10,2,2,ROMA,2002-03
3,3,ROMA,away,0,0,0,0,10,2,2,INTER,2002-03
1,1,BRESCIA,home,0,0,0,0,10,2,0,ATALANTA,2002-03
1,1,ATALANTA,away,0,0,0,0,10,0,2,BRESCIA,2002-03
1,0,LAZIO,home,0,0,0,0,10,1,3,COMO,2002-03
0,1,COMO,away,0,0,0,0,10,3,1,LAZIO,2002-03
2,3,REGGINA,home,0,0,0,0,10,4,2,EMPOLI,2002-03
3,2,EMPOLI,away,0,0,0,0,10,2,4,REGGINA,2002-03
2,2,PARMA,home,0,0,0,0,10,2,1,MILAN,2002-03
2,2,MILAN,away,0,0,0,0,10,1,2,PARMA,2002-03
2,2,PIACENZA,home,0,0,0,0,10,1,0,MODENA,2002-03
2,2,MODENA,away,0,0,0,0,10,0,1,PIACENZA,2002-03
2,0,JUVENTUS,home,0,0,0,0,10,0,4,TORINO,2002-03
0,2,TORINO,away,0,0,0,0,10,4,0,JUVENTUS,2002-03
0,4,CHIEVOVERONA,home,1,0,0,0,10,2,1,UDINESE,2002-03
4,0,UDINESE,away,0,1,0,0,10,1,2,CHIEVOVERONA,2002-03
1,4,BOLOGNA,home,0,0,0,0,11,1,1,JUVENTUS,2002-03
4,1,JUVENTUS,away,0,0,0,0,11,1,1,BOLOGNA,2002-03
2,2,INTER,home,0,0,0,0,11,1,0,MILAN,2002-03
2,2,MILAN,away,0,0,0,0,11,0,1,INTER,2002-03
4,2,UDINESE,home,0,1,0,0,11,1,1,BRESCIA,2002-03
2,4,BRESCIA,away,1,0,0,0,11,1,1,UDINESE,2002-03
4,4,EMPOLI,home,1,0,0,0,11,1,0,CHIEVOVERONA,2002-03
4,4,CHIEVOVERONA,away,0,1,0,0,11,0,1,EMPOLI,2002-03
1,1,MODENA,home,0,0,0,0,11,4,0,LAZIO,2002-03
1,1,LAZIO,away,0,0,0,0,11,0,4,MODENA,2002-03
3,1,ROMA,home,0,0,0,0,11,3,0,PARMA,2002-03
1,3,PARMA,away,0,0,0,0,11,0,3,ROMA,2002-03
2,1,COMO,home,0,0,0,0,11,3,0,PERUGIA,2002-03
1,2,PERUGIA,away,0,0,0,0,11,0,3,COMO,2002-03
4,3,TORINO,home,0,0,1,1,11,1,0,PIACENZA,2002-03
3,4,PIACENZA,away,0,0,1,1,11,0,1,TORINO,2002-03
1,1,ATALANTA,home,0,0,0,0,11,1,1,REGGINA,2002-03
1,1,REGGINA,away,0,0,0,0,11,1,1,ATALANTA,2002-03
2,1,CHIEVOVERONA,home,0,0,0,0,12,1,1,REGGINA,2002-03
1,2,REGGINA,away,0,0,0,0,12,1,1,CHIEVOVERONA,2002-03
1,2,PERUGIA,home,0,1,0,0,12,0,2,ATALANTA,2002-03
2,1,ATALANTA,away,1,0,0,0,12,2,0,PERUGIA,2002-03
0,2,MODENA,home,0,0,0,0,12,3,0,BOLOGNA,2002-03
2,0,BOLOGNA,away,0,0,0,0,12,0,3,MODENA,2002-03
3,3,MILAN,home,0,0,0,0,12,1,1,EMPOLI,2002-03
3,3,EMPOLI,away,0,0,0,0,12,1,1,MILAN,2002-03
2,2,BRESCIA,home,0,0,0,0,12,4,0,INTER,2002-03
2,2,INTER,away,0,0,0,0,12,0,4,BRESCIA,2002-03
1,2,LAZIO,home,0,0,0,0,12,2,3,PIACENZA,2002-03
2,1,PIACENZA,away,0,0,0,0,12,3,2,LAZIO,2002-03
3,2,JUVENTUS,home,0,0,2,1,12,2,2,ROMA,2002-03
2,3,ROMA,away,0,0,1,2,12,2,2,JUVENTUS,2002-03
1,1,PARMA,home,0,0,0,0,12,0,4,TORINO,2002-03
1,1,TORINO,away,0,0,0,0,12,4,0,PARMA,2002-03
2,1,UDINESE,home,0,0,1,0,12,0,2,COMO,2002-03
1,2,COMO,away,0,0,0,1,12,2,0,UDINESE,2002-03
4,2,INTER,home,0,0,,,13,3,3,LAZIO,2002-03
2,4,LAZIO,away,0,0,,,13,3,3,INTER,2002-03
1,1,ROMA,home,0,0,,,13,1,0,MILAN,2002-03
1,1,MILAN,away,0,0,,,13,0,1,ROMA,2002-03
2,2,JUVENTUS,home,1,0,,,13,2,0,BRESCIA,2002-03
2,2,BRESCIA,away,0,1,,,13,0,2,JUVENTUS,2002-03
1,4,BOLOGNA,home,0,0,,,13,0,0,CHIEVOVERONA,2002-03
4,1,CHIEVOVERONA,away,0,0,,,13,0,0,BOLOGNA,2002-03
2,3,COMO,home,0,0,,,13,1,1,MODENA,2002-03
3,2,MODENA,away,0,0,,,13,1,1,COMO,2002-03
0,0,REGGINA,home,0,0,,,13,2,0,PARMA,2002-03
0,0,PARMA,away,0,0,,,13,0,2,REGGINA,2002-03
3,2,PIACENZA,home,0,0,,,13,0,0,PERUGIA,2002-03
2,3,PERUGIA,away,0,0,,,13,0,0,PIACENZA,2002-03
2,3,EMPOLI,home,0,0,,,13,2,1,UDINESE,2002-03
3,2,UDINESE,away,0,0,,,13,1,2,EMPOLI,2002-03
1,2,ATALANTA,home,0,0,,,13,1,1,TORINO,2002-03
2,1,TORINO,away,0,0,,,13,1,1,ATALANTA,2002-03
