Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
PESCARA,home,1,0,11,1,0,FOGGIA,1992-93
FOGGIA,away,0,1,11,0,1,PESCARA,1992-93
TORINO,home,0,0,11,2,1,GENOA,1992-93
GENOA,away,0,0,11,1,2,TORINO,1992-93
BRESCIA,home,0,0,11,2,1,INTER,1992-93
INTER,away,0,0,11,1,2,BRESCIA,1992-93
MILAN,home,0,0,11,0,1,JUVENTUS,1992-93
JUVENTUS,away,0,0,11,1,0,MILAN,1992-93
ROMA,home,0,0,11,1,1,LAZIO,1992-93
LAZIO,away,0,0,11,1,1,ROMA,1992-93
FIORENTINA,home,1,1,11,4,1,NAPOLI,1992-93
NAPOLI,away,1,1,11,1,4,FIORENTINA,1992-93
SAMPDORIA,home,0,0,11,1,0,PARMA,1992-93
PARMA,away,0,0,11,0,1,SAMPDORIA,1992-93
INTER,home,0,1,12,3,0,ANCONA,1992-93
ANCONA,away,1,0,12,0,3,INTER,1992-93
GENOA,home,1,0,12,2,2,BRESCIA,1992-93
BRESCIA,away,0,1,12,2,2,GENOA,1992-93
NAPOLI,home,0,2,12,1,0,CAGLIARI,1992-93
CAGLIARI,away,2,0,12,0,1,NAPOLI,1992-93
JUVENTUS,home,0,1,12,2,0,FIORENTINA,1992-93
FIORENTINA,away,1,0,12,0,2,JUVENTUS,1992-93
UDINESE,home,0,0,12,1,1,MILAN,1992-93
MILAN,away,0,0,12,1,1,UDINESE,1992-93
LAZIO,home,0,1,12,2,3,PESCARA,1992-93
PESCARA,away,1,0,12,3,2,LAZIO,1992-93
PARMA,home,1,0,12,1,0,ROMA,1992-93
ROMA,away,0,1,12,0,1,PARMA,1992-93
ATALANTA,home,0,0,12,2,3,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,12,3,2,ATALANTA,1992-93
FOGGIA,home,1,0,12,1,1,TORINO,1992-93
TORINO,away,0,1,12,1,1,FOGGIA,1992-93
BRESCIA,home,,,13,1,1,ATALANTA,1992-93
ATALANTA,away,,,13,1,1,BRESCIA,1992-93
JUVENTUS,home,,,13,2,1,FOGGIA,1992-93
FOGGIA,away,,,13,1,2,JUVENTUS,1992-93
NAPOLI,home,,,13,2,1,GENOA,1992-93
GENOA,away,,,13,1,2,NAPOLI,1992-93
INTER,home,,,13,3,1,LAZIO,1992-93
LAZIO,away,,,13,1,3,INTER,1992-93
ANCONA,home,,,13,2,0,MILAN,1992-93
MILAN,away,,,13,0,2,ANCONA,1992-93
FIORENTINA,home,,,13,1,1,PARMA,1992-93
PARMA,away,,,13,1,1,FIORENTINA,1992-93
SAMPDORIA,home,,,13,2,2,PESCARA,1992-93
PESCARA,away,,,13,2,2,SAMPDORIA,1992-93
ROMA,home,,,13,0,0,TORINO,1992-93
TORINO,away,,,13,0,0,ROMA,1992-93
CAGLIARI,home,,,13,2,1,UDINESE,1992-93
UDINESE,away,,,13,1,2,CAGLIARI,1992-93
LAZIO,home,0,0,14,0,3,ANCONA,1992-93
ANCONA,away,0,0,14,3,0,LAZIO,1992-93
UDINESE,home,0,0,14,2,1,BRESCIA,1992-93
BRESCIA,away,0,0,14,1,2,UDINESE,1992-93
TORINO,home,0,0,14,0,0,CAGLIARI,1992-93
CAGLIARI,away,0,0,14,0,0,TORINO,1992-93
ATALANTA,home,0,0,14,0,1,FIORENTINA,1992-93
FIORENTINA,away,0,0,14,1,0,ATALANTA,1992-93
GENOA,home,0,0,14,4,0,INTER,1992-93
INTER,away,0,0,14,0,4,GENOA,1992-93
PARMA,home,0,0,14,2,2,JUVENTUS,1992-93
JUVENTUS,away,0,0,14,2,2,PARMA,1992-93
PESCARA,home,0,0,14,2,0,NAPOLI,1992-93
NAPOLI,away,0,0,14,0,2,PESCARA,1992-93
MILAN,home,0,1,14,0,1,ROMA,1992-93
ROMA,away,1,0,14,1,0,MILAN,1992-93
FOGGIA,home,0,0,14,3,3,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,14,3,3,FOGGIA,1992-93
ROMA,home,0,0,15,3,1,ATALANTA,1992-93
ATALANTA,away,0,0,15,1,3,ROMA,1992-93
INTER,home,0,1,15,1,3,FOGGIA,1992-93
