"day","time","technology","user","lot_runid","elapsed"
"Wed","16:00","Query Rewrite","User 3",3,9.6
"Tue","11:00","Query Rewrite","User 2",2,12.6
"Tue","09:00","Query Rewrite","User 3",1,14.7
"Wed","14:00","Dynamic Cubes","User 2",3,6.3
"Wed","09:00","Dynamic Cubes","User 2",3,6.2
"Mon","16:00","Query Rewrite","User 3",1,16.2
"Thu","13:00","Query Rewrite","User 2",2,12.4
"Fri","15:00","Query Rewrite","User 3",3,10.9
"Tue","12:00","Query Rewrite","User 2",2,9.2
"Mon","14:00","Query Rewrite","User 3",3,9
"Thu","16:00","Dynamic Cubes","User 1",2,4.7
"Fri","10:00","Query Rewrite","User 2",2,13.2
"Tue","16:00","Dynamic Cubes","User 2",2,5.8
"Mon","16:00","Query Rewrite","User 1",2,14.5
"Thu","15:00","Query Rewrite","User 1",3,13.8
"Wed","14:00","Query Rewrite","User 1",2,11.8
"Fri","12:00","Query Rewrite","User 3",2,11.1
"Tue","12:00","Query Rewrite","User 3",3,11.4
"Wed","09:00","Query Rewrite","User 2",1,13.3
"Tue","16:00","Dynamic Cubes","User 1",3,6.3
"Tue","13:00","Query Rewrite","User 3",3,14.8
"Thu","16:00","Dynamic Cubes","User 3",3,3.8
"Mon","12:00","Query Rewrite","User 3",3,12.6
"Fri","10:00","Dynamic Cubes","User 3",2,7.5
"Tue","15:00","Dynamic Cubes","User 3",3,5.1
"Thu","13:00","Query Rewrite","User 3",3,10.1
"Wed","16:00","Dynamic Cubes","User 1",3,3.7
"Mon","16:00","Query Rewrite","User 3",3,12.3
"Fri","13:00","Query Rewrite","User 2",3,12.2
"Thu","14:00","Query Rewrite","User 3",2,10.2
"Tue","10:00","Query Rewrite","User 1",2,10.2
"Tue","14:00","Query Rewrite","User 3",2,13.2
"Wed","15:00","Query Rewrite","User 2",3,11.2
"Mon","15:00","Dynamic Cubes","User 1",3,7.8
"Wed","13:00","Dynamic Cubes","User 3",3,3.7
"Thu","14:00","Dynamic Cubes","User 2",3,30.9
"Fri","10:00","Dynamic Cubes","User 2",3,8.2
"Wed","15:00","Dynamic Cubes","User 3",2,24.3
"Tue","12:00","Dynamic Cubes","User 3",2,6.9
"Thu","14:00","Query Rewrite","User 2",3,10.3
"Fri","16:00","Query Rewrite","User 1",2,13.5
"Wed","09:00","Query Rewrite","User 1",2,10
"Thu","09:00","Query Rewrite","User 1",2,11.4
"Mon","10:00","Query Rewrite","User 3",1,13.8
"Wed","15:00","Dynamic Cubes","User 1",3,5.2
"Wed","11:00","Dynamic Cubes","User 2",3,29.1
"Thu","12:00","Query Rewrite","User 1",2,14.3
"Thu","13:00","Dynamic Cubes","User 1",3,4.5
"Mon","13:00","Dynamic Cubes","User 2",3,6.5
"Tue","11:00","Query Rewrite","User 3",3,10.8
"Tue","15:00","Query Rewrite","User 1",3,10.3
"Fri","12:00","Query Rewrite","User 1",3,14.3
"Fri","09:00","Query Rewrite","User 2",2,14.7
"Fri","09:00","Query Rewrite","User 1",3,11.7
"Tue","12:00","Dynamic Cubes","User 3",3,5.6
